age,job
58,management
44,technician
33,entrepreneur
47,bluecollar
33,unknown
35,management
28,management
42,entrepreneur
58,retired
43,technician
41,admin
29,admin
53,technician
58,technician
57,services
51,retired
45,admin
57,bluecollar
60,retired
33,services
28,bluecollar
56,management
32,bluecollar
25,services
40,retired
44,admin
39,management
52,entrepreneur
46,management
36,technician
57,technician
49,management
60,admin
59,bluecollar
51,management
57,technician
25,bluecollar
53,technician
36,admin
37,admin
44,services
50,management
60,bluecollar
54,retired
58,retired
36,admin
58,selfemployed
44,technician
55,technician
29,management
54,bluecollar
48,management
32,management
42,admin
24,technician
38,entrepreneur
38,management
47,bluecollar
40,bluecollar
46,services
32,admin
53,technician
57,bluecollar
33,services
49,bluecollar
51,management
60,retired
59,management
55,technician
35,bluecollar
57,bluecollar
31,services
54,management
55,bluecollar
43,technician
53,technician
44,bluecollar
55,services
49,services
55,services
45,admin
47,services
42,technician
59,admin
46,selfemployed
51,bluecollar
56,admin
41,technician
46,management
57,retired
42,management
30,technician
60,admin
60,bluecollar
57,entrepreneur
36,management
55,bluecollar
60,retired
39,technician
46,management
44,bluecollar
53,bluecollar
52,bluecollar
59,bluecollar
27,technician
44,bluecollar
47,technician
34,admin
59,retired
45,management
29,services
46,technician
56,selfemployed
36,bluecollar
59,retired
44,bluecollar
41,admin
33,management
59,management
57,technician
56,technician
51,bluecollar
34,admin
43,services
52,technician
33,technician
29,admin
34,services
31,bluecollar
55,services
55,management
32,admin
38,technician
55,admin
28,unemployed
23,bluecollar
32,technician
43,services
32,bluecollar
46,bluecollar
53,housemaid
34,selfemployed
57,unemployed
37,bluecollar
59,bluecollar
33,services
56,bluecollar
48,unemployed
43,services
54,bluecollar
51,bluecollar
26,student
40,management
39,management
50,technician
41,services
51,bluecollar
60,retired
52,bluecollar
48,bluecollar
48,services
39,technician
47,services
40,bluecollar
45,technician
26,admin
52,management
54,technician
54,admin
50,bluecollar
35,bluecollar
44,services
53,entrepreneur
35,retired
60,admin
53,admin
48,unemployed
34,technician
54,services
51,management
31,services
35,technician
35,services
38,technician
36,admin
58,retired
40,services
54,management
34,bluecollar
31,management
51,retired
33,management
55,management
42,admin
34,bluecollar
33,bluecollar
38,services
50,technician
43,management
61,bluecollar
47,admin
48,selfemployed
44,bluecollar
35,student
35,services
50,services
41,management
41,management
39,services
42,retired
38,bluecollar
53,retired
59,housemaid
36,services
54,bluecollar
40,technician
47,unknown
53,unemployed
46,housemaid
39,management
40,unemployed
28,bluecollar
35,entrepreneur
55,retired
43,technician
48,bluecollar
58,management
33,management
36,bluecollar
53,services
47,bluecollar
31,services
57,entrepreneur
53,bluecollar
55,bluecollar
45,bluecollar
53,admin
37,bluecollar
44,admin
49,bluecollar
46,technician
43,entrepreneur
38,admin
43,technician
49,management
42,management
22,bluecollar
40,management
39,bluecollar
51,services
49,admin
53,bluecollar
34,services
33,technician
50,management
39,bluecollar
59,entrepreneur
30,technician
36,services
40,bluecollar
53,bluecollar
34,management
37,technician
42,management
41,entrepreneur
30,student
37,management
39,admin
41,bluecollar
40,bluecollar
42,management
40,bluecollar
57,technician
56,entrepreneur
37,admin
59,retired
39,services
49,services
38,services
36,selfemployed
50,bluecollar
41,admin
54,technician
58,bluecollar
30,bluecollar
33,admin
47,admin
50,technician
32,bluecollar
40,selfemployed
37,management
54,technician
24,student
54,management
34,technician
56,technician
31,bluecollar
24,student
42,bluecollar
57,technician
42,bluecollar
51,admin
57,retired
36,services
53,services
50,technician
54,management
55,bluecollar
44,bluecollar
43,management
56,admin
54,technician
55,services
37,services
33,admin
46,admin
36,bluecollar
51,technician
40,retired
42,bluecollar
51,bluecollar
49,bluecollar
48,management
32,technician
31,admin
55,management
40,bluecollar
47,technician
57,technician
41,bluecollar
48,bluecollar
42,bluecollar
30,bluecollar
58,management
45,management
49,bluecollar
42,admin
53,technician
51,admin
32,services
41,bluecollar
43,management
40,bluecollar
50,bluecollar
34,management
53,services
45,technician
39,bluecollar
44,services
55,management
46,management
45,bluecollar
34,admin
36,bluecollar
59,unknown
31,admin
44,bluecollar
33,entrepreneur
40,bluecollar
46,admin
48,management
42,services
27,services
48,admin
59,admin
46,technician
38,admin
43,management
38,admin
23,student
34,services
38,admin
37,bluecollar
25,admin
48,bluecollar
49,bluecollar
38,admin
43,bluecollar
33,management
55,bluecollar
38,bluecollar
49,services
40,management
43,admin
38,bluecollar
58,services
57,technician
32,unemployed
56,management
58,bluecollar
60,retired
37,technician
46,technician
27,admin
43,bluecollar
32,technician
40,admin
38,admin
34,bluecollar
47,bluecollar
42,housemaid
48,technician
29,selfemployed
50,services
52,technician
50,management
58,retired
46,bluecollar
38,technician
46,bluecollar
32,services
51,bluecollar
39,admin
48,admin
36,entrepreneur
34,admin
40,technician
43,unemployed
52,bluecollar
33,technician
49,management
32,management
39,admin
40,bluecollar
38,technician
43,management
39,services
54,bluecollar
38,technician
40,bluecollar
55,admin
42,management
39,bluecollar
40,bluecollar
32,bluecollar
55,admin
45,bluecollar
35,management
58,technician
35,admin
49,services
34,technician
36,bluecollar
24,selfemployed
34,technician
51,admin
39,technician
50,selfemployed
32,services
42,bluecollar
50,technician
40,services
46,management
37,management
34,bluecollar
44,bluecollar
40,admin
37,technician
33,bluecollar
35,bluecollar
58,bluecollar
39,bluecollar
43,bluecollar
39,unemployed
36,services
57,retired
36,admin
50,bluecollar
55,bluecollar
44,selfemployed
44,services
39,housemaid
46,bluecollar
39,bluecollar
34,admin
40,bluecollar
50,management
31,management
37,admin
39,management
51,bluecollar
41,technician
41,technician
43,bluecollar
30,services
54,management
43,bluecollar
59,management
47,technician
40,bluecollar
32,technician
29,bluecollar
36,bluecollar
55,unemployed
30,bluecollar
39,admin
39,bluecollar
50,bluecollar
44,bluecollar
37,technician
46,admin
32,technician
37,management
29,bluecollar
41,bluecollar
45,bluecollar
57,retired
48,bluecollar
60,retired
26,admin
58,retired
34,admin
55,unemployed
41,bluecollar
50,management
49,entrepreneur
44,admin
44,bluecollar
31,technician
34,bluecollar
46,management
42,management
52,admin
29,management
53,retired
43,bluecollar
38,management
46,management
48,management
30,admin
44,bluecollar
31,housemaid
42,services
40,management
52,admin
45,bluecollar
48,bluecollar
45,bluecollar
34,bluecollar
34,bluecollar
46,bluecollar
49,services
50,technician
34,admin
40,unemployed
36,admin
59,bluecollar
45,bluecollar
36,selfemployed
56,services
42,services
30,admin
30,student
47,selfemployed
33,bluecollar
36,admin
39,services
56,admin
39,bluecollar
42,technician
52,bluecollar
36,admin
35,entrepreneur
47,technician
59,services
57,bluecollar
38,management
46,unemployed
34,bluecollar
28,services
38,technician
56,bluecollar
41,bluecollar
52,technician
54,services
61,retired
53,entrepreneur
47,technician
53,bluecollar
46,services
39,bluecollar
56,technician
55,services
44,management
37,technician
35,bluecollar
55,bluecollar
37,services
30,technician
37,bluecollar
36,technician
38,technician
41,admin
48,retired
55,services
28,services
54,services
30,bluecollar
48,technician
31,selfemployed
38,bluecollar
37,bluecollar
37,services
56,bluecollar
51,bluecollar
39,bluecollar
49,technician
51,bluecollar
43,selfemployed
32,services
29,technician
48,management
55,services
53,bluecollar
47,technician
39,management
31,bluecollar
39,bluecollar
40,bluecollar
40,technician
48,technician
33,technician
40,technician
59,retired
30,technician
31,management
35,unemployed
54,technician
34,admin
32,technician
56,admin
32,admin
42,bluecollar
33,services
52,entrepreneur
52,services
52,bluecollar
30,unemployed
44,services
35,admin
55,management
33,bluecollar
37,bluecollar
42,technician
43,unemployed
38,entrepreneur
37,technician
31,student
41,management
41,technician
29,student
38,admin
44,selfemployed
39,admin
28,technician
33,bluecollar
41,services
40,bluecollar
29,admin
38,management
32,admin
45,services
33,admin
34,bluecollar
41,entrepreneur
41,bluecollar
35,admin
40,technician
60,selfemployed
47,services
46,bluecollar
31,bluecollar
49,selfemployed
29,bluecollar
31,management
38,management
37,bluecollar
35,technician
31,management
41,admin
46,services
40,services
29,admin
49,admin
42,management
54,services
40,management
53,admin
49,management
40,bluecollar
29,student
36,bluecollar
37,technician
39,services
36,technician
44,entrepreneur
40,admin
49,bluecollar
30,technician
57,management
24,services
46,bluecollar
33,admin
43,services
43,admin
40,bluecollar
44,technician
35,technician
47,technician
33,bluecollar
31,admin
40,bluecollar
36,entrepreneur
56,retired
40,admin
41,admin
53,retired
39,bluecollar
44,bluecollar
38,admin
54,technician
58,management
52,bluecollar
28,admin
36,bluecollar
60,retired
42,services
42,admin
44,management
51,bluecollar
49,bluecollar
47,entrepreneur
37,bluecollar
34,management
35,services
35,bluecollar
40,bluecollar
55,technician
55,retired
35,management
57,bluecollar
53,management
41,bluecollar
57,bluecollar
45,bluecollar
43,bluecollar
56,selfemployed
31,entrepreneur
37,bluecollar
30,management
30,admin
54,bluecollar
36,management
55,unemployed
37,admin
38,housemaid
48,admin
55,housemaid
59,services
37,technician
33,bluecollar
44,bluecollar
57,technician
30,selfemployed
42,technician
51,bluecollar
44,admin
46,technician
29,student
39,bluecollar
42,services
50,bluecollar
42,technician
39,admin
55,technician
46,services
42,bluecollar
45,management
43,bluecollar
42,admin
30,admin
47,bluecollar
51,services
38,technician
57,technician
42,management
32,technician
46,management
29,student
59,retired
32,bluecollar
44,bluecollar
40,retired
31,bluecollar
46,selfemployed
43,management
34,services
39,management
30,bluecollar
56,retired
29,technician
40,bluecollar
36,services
37,bluecollar
35,admin
35,bluecollar
47,services
31,services
56,retired
57,technician
36,bluecollar
45,selfemployed
47,bluecollar
29,technician
57,services
45,bluecollar
31,bluecollar
31,management
37,technician
30,technician
58,services
33,services
39,bluecollar
33,bluecollar
34,services
36,services
37,services
35,bluecollar
55,retired
34,management
40,management
42,bluecollar
37,bluecollar
42,management
35,technician
44,technician
30,services
45,entrepreneur
35,bluecollar
36,admin
49,bluecollar
31,bluecollar
31,technician
39,bluecollar
37,services
33,bluecollar
37,management
42,services
56,bluecollar
37,admin
36,services
29,technician
54,management
38,bluecollar
43,bluecollar
47,admin
47,bluecollar
38,services
40,bluecollar
33,services
33,retired
53,admin
37,services
40,management
37,bluecollar
35,technician
49,bluecollar
26,bluecollar
38,management
52,selfemployed
33,services
31,admin
32,bluecollar
35,bluecollar
55,management
32,bluecollar
37,unknown
45,bluecollar
31,technician
38,admin
37,services
38,bluecollar
33,housemaid
38,bluecollar
37,management
29,unemployed
42,management
40,bluecollar
32,management
47,management
29,student
53,services
31,services
59,bluecollar
29,entrepreneur
59,bluecollar
44,bluecollar
38,admin
49,admin
43,bluecollar
52,admin
40,admin
32,services
47,admin
33,management
35,management
27,services
50,bluecollar
44,retired
43,selfemployed
51,bluecollar
32,admin
47,management
34,admin
57,selfemployed
43,admin
40,services
28,bluecollar
38,bluecollar
37,unemployed
44,admin
41,technician
37,selfemployed
30,services
32,bluecollar
30,management
35,services
55,bluecollar
52,bluecollar
33,admin
55,retired
33,bluecollar
40,bluecollar
39,bluecollar
54,bluecollar
39,bluecollar
49,bluecollar
52,admin
27,management
26,services
40,bluecollar
47,bluecollar
31,services
53,bluecollar
31,services
33,admin
35,services
46,entrepreneur
31,management
35,technician
29,management
51,technician
33,bluecollar
37,management
43,admin
42,technician
28,bluecollar
57,retired
38,services
39,bluecollar
36,technician
57,retired
44,management
48,services
46,bluecollar
43,admin
49,services
29,services
53,bluecollar
30,services
41,management
33,technician
47,bluecollar
58,retired
31,unemployed
38,admin
60,retired
33,management
33,unemployed
52,admin
42,bluecollar
30,technician
33,entrepreneur
46,admin
51,bluecollar
40,unemployed
50,admin
42,entrepreneur
38,technician
36,admin
37,unemployed
33,management
38,bluecollar
52,bluecollar
29,bluecollar
37,bluecollar
34,admin
43,bluecollar
49,services
33,technician
47,admin
50,technician
30,bluecollar
44,services
44,bluecollar
30,services
40,bluecollar
41,bluecollar
34,bluecollar
53,services
35,bluecollar
34,technician
39,admin
39,management
52,services
34,bluecollar
37,bluecollar
39,admin
52,entrepreneur
35,bluecollar
36,entrepreneur
48,technician
31,admin
43,technician
43,bluecollar
39,bluecollar
40,technician
58,management
31,bluecollar
41,bluecollar
37,management
44,services
37,technician
39,bluecollar
41,bluecollar
52,bluecollar
29,bluecollar
60,bluecollar
32,technician
50,services
56,bluecollar
48,admin
29,bluecollar
40,bluecollar
42,admin
34,bluecollar
23,management
30,technician
51,management
52,technician
45,technician
41,bluecollar
27,student
50,bluecollar
36,bluecollar
46,bluecollar
44,bluecollar
47,bluecollar
40,bluecollar
36,services
46,bluecollar
58,technician
30,technician
43,bluecollar
29,services
41,management
44,entrepreneur
44,services
59,bluecollar
39,management
42,management
31,admin
29,unknown
39,bluecollar
44,bluecollar
49,services
39,housemaid
27,bluecollar
56,management
43,technician
37,selfemployed
54,technician
38,bluecollar
31,bluecollar
34,bluecollar
35,admin
44,bluecollar
30,bluecollar
51,technician
37,bluecollar
39,bluecollar
33,management
37,management
46,bluecollar
32,admin
43,entrepreneur
59,housemaid
46,admin
47,bluecollar
31,services
30,bluecollar
38,bluecollar
44,bluecollar
52,technician
29,services
43,admin
47,technician
43,bluecollar
52,bluecollar
